Buyer_ID,Preferred_Crop,Quantity_Needed,Max_Price,Location
B0001,Millets,1139,40.75,Gujarat
B0002,Wheat,486,36.35,Kerala
B0003,Wheat,878,50.33,Karnataka
B0004,Rice,983,66.52,Tamil Nadu
B0005,Maize,308,61.85,Kerala
B0006,Barley,152,69.77,Andhra Pradesh
B0007,Wheat,1042,21.13,Maharashtra
B0008,Rice,818,25.64,Telangana
B0009,Sugarcane,1174,50.47,Gujarat
B0010,Millets,1271,61.03,Andhra Pradesh
B0011,Pulses,862,34.26,Maharashtra
B0012,Barley,275,31.96,Punjab
B0013,Cotton,992,59.35,Gujarat
B0014,Barley,512,22.82,Karnataka
B0015,Millets,286,38.47,Gujarat
B0016,Barley,1099,45.29,Tamil Nadu
B0017,Millets,1194,48.02,Tamil Nadu
B0018,Rice,555,56.43,Maharashtra
B0019,Cotton,1255,37.74,Andhra Pradesh
B0020,Wheat,863,50.63,Telangana
B0021,Wheat,816,49.27,Karnataka
B0022,Barley,683,47.38,Maharashtra
B0023,Rice,1388,52.02,Punjab
B0024,Cotton,1040,32.97,Karnataka
B0025,Wheat,667,24.23,Tamil Nadu
B0026,Sugarcane,322,25.96,Kerala
B0027,Maize,281,31.23,Kerala
B0028,Maize,1493,45.01,Telangana
B0029,Wheat,817,62.02,Karnataka
B0030,Cotton,545,55.06,Maharashtra
B0031,Pulses,1097,59.45,Telangana
B0032,Wheat,1182,37.55,Gujarat
B0033,Pulses,551,40.23,Gujarat
B0034,Pulses,74,39.68,Punjab
B0035,Millets,1260,29.59,Andhra Pradesh
B0036,Millets,337,23.06,Kerala
B0037,Cotton,387,49.55,Maharashtra
B0038,Pulses,1110,69.46,Karnataka
B0039,Sugarcane,186,28.34,Telangana
B0040,Cotton,557,22.33,Maharashtra
B0041,Wheat,276,58.98,Telangana
B0042,Barley,369,32.63,Telangana
B0043,Sugarcane,965,61.48,Telangana
B0044,Rice,1255,55.2,Karnataka
B0045,Maize,135,67.28,Maharashtra
B0046,Wheat,975,40.45,Tamil Nadu
B0047,Wheat,102,53.1,Tamil Nadu
B0048,Wheat,909,43.24,Karnataka
B0049,Sugarcane,916,51.53,Gujarat
B0050,Rice,1308,42.48,Karnataka
B0051,Barley,482,29.43,Kerala
B0052,Cotton,1048,45.39,Telangana
B0053,Millets,149,46.43,Maharashtra
B0054,Rice,1039,60.53,Maharashtra
B0055,Sugarcane,648,56.78,Andhra Pradesh
B0056,Wheat,452,53.19,Andhra Pradesh
B0057,Maize,445,25.67,Punjab
B0058,Wheat,464,56.03,Tamil Nadu
B0059,Cotton,988,45.02,Andhra Pradesh
B0060,Pulses,726,64.7,Andhra Pradesh
B0061,Maize,512,65.99,Tamil Nadu
B0062,Wheat,590,22.76,Kerala
B0063,Barley,1437,61.03,Gujarat
B0064,Maize,1203,21.88,Tamil Nadu
B0065,Pulses,133,38.36,Gujarat
B0066,Millets,320,47.11,Punjab
B0067,Rice,293,27.41,Andhra Pradesh
B0068,Sugarcane,437,57.32,Maharashtra
B0069,Millets,263,20.42,Andhra Pradesh
B0070,Wheat,867,28.43,Telangana
B0071,Cotton,1239,49.04,Punjab
B0072,Rice,108,55.72,Gujarat
B0073,Millets,932,65.83,Gujarat
B0074,Wheat,892,55.27,Telangana
B0075,Rice,973,53.59,Telangana
B0076,Millets,172,39.72,Kerala
B0077,Cotton,1486,20.06,Karnataka
B0078,Wheat,1212,26.01,Telangana
B0079,Pulses,1302,46.73,Gujarat
B0080,Pulses,1347,53.76,Maharashtra
B0081,Cotton,488,40.87,Gujarat
B0082,Maize,1071,56.53,Gujarat
B0083,Cotton,611,46.09,Kerala
B0084,Maize,167,23.71,Karnataka
B0085,Wheat,954,29.6,Karnataka
B0086,Millets,444,62.0,Telangana
