Farmer_ID,Crop_Type,Quantity_kg,Price_per_kg,Location
F0001,Barley,1938,44.56,Kerala
F0002,Sugarcane,111,51.99,Tamil Nadu
F0003,Cotton,1441,32.12,Telangana
F0004,Barley,1715,49.9,Karnataka
F0005,Maize,315,58.4,Andhra Pradesh
F0006,Millets,438,24.17,Andhra Pradesh
F0007,Cotton,1899,38.55,Tamil Nadu
F0008,Cotton,760,27.92,Punjab
F0009,Barley,1204,50.68,Karnataka
F0010,Wheat,1850,40.99,Punjab
F0011,Maize,1608,43.56,Karnataka
F0012,Barley,473,50.91,Tamil Nadu
F0013,Maize,1075,32.82,Karnataka
F0014,Maize,809,56.18,Telangana
F0015,Millets,1323,38.99,Punjab
F0016,Cotton,1660,22.11,Tamil Nadu
F0017,Sugarcane,565,46.32,Telangana
F0018,Millets,1212,50.7,Karnataka
F0019,Millets,1391,29.25,Tamil Nadu
F0020,Maize,1778,53.57,Karnataka
F0021,Pulses,1694,55.78,Punjab
F0022,Cotton,588,27.46,Tamil Nadu
F0023,Wheat,1661,59.26,Karnataka
F0024,Millets,146,21.33,Punjab
F0025,Sugarcane,1411,24.09,Telangana
F0026,Pulses,877,23.29,Gujarat
F0027,Pulses,1139,55.23,Telangana
F0028,Wheat,810,44.44,Karnataka
F0029,Millets,500,21.84,Tamil Nadu
F0030,Sugarcane,1917,34.81,Andhra Pradesh
F0031,Cotton,1080,42.69,Telangana
F0032,Rice,1209,18.76,Telangana
F0033,Sugarcane,349,54.71,Punjab
F0034,Wheat,490,51.16,Kerala
F0035,Pulses,1905,37.73,Andhra Pradesh
F0036,Cotton,434,58.52,Karnataka
F0037,Sugarcane,728,33.8,Gujarat
F0038,Rice,1642,59.28,Tamil Nadu
F0039,Rice,236,45.06,Kerala
F0040,Maize,982,43.56,Karnataka
F0041,Maize,787,22.47,Maharashtra
F0042,Barley,1963,54.69,Gujarat
F0043,Wheat,1621,34.24,Telangana
F0044,Millets,926,22.3,Maharashtra
F0045,Sugarcane,826,15.57,Telangana
F0046,Sugarcane,1600,40.19,Telangana
F0047,Millets,693,38.73,Maharashtra
F0048,Barley,1346,47.37,Gujarat
F0049,Pulses,1089,55.06,Punjab
F0050,Pulses,471,18.57,Maharashtra
F0051,Barley,1034,47.92,Karnataka
F0052,Pulses,1094,23.43,Kerala
