Buyer_ID,Farmer_ID,Crop,Match_Score
B0001,F1128,Wheat,0.802
B0001,F0985,Millets,0.6
B0001,F0749,Rice,0.599
B0001,F0375,Rice,0.599
B0001,F1537,Rice,0.598
B0002,F0574,Wheat,0.6
B0002,F0253,Sugarcane,0.599
B0002,F1686,Rice,0.598
B0002,F1593,Sugarcane,0.598
B0002,F1735,Rice,0.598
B0003,F1319,Wheat,0.6
B0003,F0028,Wheat,0.598
B0003,F0474,Sugarcane,0.598
B0003,F0873,Wheat,0.598
B0003,F0723,Sugarcane,0.598
B0004,F1331,Pulses,0.802
B0004,F1474,Wheat,0.744
B0004,F0709,Millets,0.599
B0004,F1350,Cotton,0.598
B0004,F1619,Pulses,0.598
B0005,F0535,Maize,0.598
B0005,F1524,Cotton,0.598
B0005,F1965,Cotton,0.597
B0005,F1978,Maize,0.597
B0005,F0415,Maize,0.596
B0006,F1427,Barley,0.6
B0006,F0586,Barley,0.599
B0006,F1038,Barley,0.596
B0006,F1092,Barley,0.588
B0006,F0125,Cotton,0.586
B0007,F1694,Barley,0.609
B0007,F0735,Wheat,0.599
B0007,F1657,Wheat,0.598
B0007,F1824,Sugarcane,0.598
B0007,F1159,Sugarcane,0.598
B0008,F0724,Rice,0.599
B0008,F1845,Pulses,0.598
B0008,F1852,Rice,0.598
B0008,F1246,Millets,0.598
B0008,F0276,Sugarcane,0.598
B0009,F0692,Pulses,0.931
B0009,F0785,Wheat,0.6
B0009,F0247,Rice,0.6
B0009,F0127,Wheat,0.599
B0009,F0994,Sugarcane,0.599
B0010,F0304,Pulses,0.861
B0010,F1400,Cotton,0.6
B0010,F0716,Millets,0.6
B0010,F0401,Millets,0.599
B0010,F1067,Cotton,0.598
B0011,F0371,Sugarcane,0.599
B0011,F1121,Wheat,0.599
B0011,F0928,Sugarcane,0.598
B0011,F1236,Sugarcane,0.598
B0011,F0624,Wheat,0.598
B0012,F0732,Rice,0.789
B0012,F0538,Barley,0.6
B0012,F0824,Barley,0.6
B0012,F0388,Barley,0.599
B0012,F0711,Barley,0.599
B0013,F0301,Rice,0.761
B0013,F1413,Cotton,0.598
B0013,F0776,Cotton,0.598
B0013,F1544,Cotton,0.596
B0013,F0700,Maize,0.593
B0014,F0284,Barley,0.6
B0014,F1694,Barley,0.599
B0014,F0328,Barley,0.599
B0014,F0638,Barley,0.599
B0014,F1267,Barley,0.599
B0015,F0762,Wheat,0.846
B0015,F1522,Rice,0.598
B0015,F0602,Millets,0.598
B0015,F1316,Sugarcane,0.597
B0015,F0551,Rice,0.597
B0016,F1656,Maize,0.903
B0016,F0382,Pulses,0.832
B0016,F1546,Sugarcane,0.692
B0016,F0965,Barley,0.599
B0016,F1486,Barley,0.598
B0017,F1997,Wheat,0.841
B0017,F1334,Millets,0.6
B0017,F1660,Millets,0.6
B0017,F0425,Millets,0.599
B0017,F0141,Millets,0.599
B0018,F1903,Rice,0.599
B0018,F1005,Rice,0.599
B0018,F1125,Pulses,0.599
B0018,F1615,Pulses,0.599
B0018,F0897,Pulses,0.598
B0019,F1166,Wheat,0.71
B0019,F1713,Cotton,0.6
B0019,F1832,Cotton,0.599
B0019,F0729,Cotton,0.599
B0019,F0216,Cotton,0.598
B0020,F0727,Maize,0.835
B0020,F0744,Cotton,0.801
B0020,F0612,Wheat,0.6
B0020,F1586,Wheat,0.599
B0020,F1798,Wheat,0.599
B0021,F1186,Sugarcane,0.787
B0021,F1319,Wheat,0.6
B0021,F0742,Pulses,0.599
B0021,F0028,Wheat,0.599
B0021,F0474,Sugarcane,0.597
B0022,F1703,Barley,0.599
B0022,F0356,Barley,0.598
B0022,F0760,Barley,0.598
B0022,F1398,Barley,0.597
B0022,F0946,Barley,0.597
B0023,F1625,Pulses,0.6
B0023,F0457,Pulses,0.599
B0023,F0077,Sugarcane,0.599
B0023,F1983,Sugarcane,0.598
B0023,F0118,Pulses,0.598
B0024,F1105,Pulses,0.876
B0024,F1191,Maize,0.808
B0024,F0552,Sugarcane,0.791
B0024,F1006,Cotton,0.6
B0024,F1040,Maize,0.599
B0025,F1301,Barley,0.64
B0025,F1980,Wheat,0.599
B0025,F1641,Sugarcane,0.599
B0025,F0364,Wheat,0.599
B0025,F0600,Pulses,0.598
B0026,F0090,Wheat,0.599
B0026,F1450,Sugarcane,0.598
B0026,F1659,Rice,0.598
B0026,F1300,Wheat,0.597
B0026,F1140,Rice,0.597
B0027,F1366,Pulses,0.6
B0027,F1044,Rice,0.599
B0027,F0933,Rice,0.599
B0027,F1229,Pulses,0.598
B0027,F0073,Rice,0.598
B0028,F1953,Maize,0.599
B0028,F0728,Maize,0.599
B0028,F1771,Maize,0.599
B0028,F0901,Cotton,0.599
B0028,F0658,Maize,0.599
B0029,F0684,Sugarcane,0.766
B0029,F1954,Sugarcane,0.6
B0029,F0602,Millets,0.599
B0029,F0445,Sugarcane,0.599
B0029,F1316,Sugarcane,0.599
B0030,F0484,Pulses,0.871
B0030,F0469,Cotton,0.599
B0030,F1082,Cotton,0.597
B0030,F0288,Cotton,0.594
B0030,F0706,Cotton,0.594
B0031,F0959,Wheat,0.926
B0031,F0027,Pulses,0.599
B0031,F0969,Pulses,0.599
B0031,F1736,Millets,0.599
B0031,F0215,Maize,0.599
B0032,F0092,Sugarcane,0.888
B0032,F0906,Wheat,0.599
B0032,F0421,Wheat,0.598
B0032,F0584,Wheat,0.597
B0032,F0549,Wheat,0.597
B0033,F0107,Pulses,0.6
B0033,F0278,Pulses,0.599
B0033,F1951,Sugarcane,0.599
B0033,F0474,Sugarcane,0.599
B0033,F0445,Sugarcane,0.598
B0034,F1022,Rice,0.934
B0034,F1780,Millets,0.598
B0034,F1768,Rice,0.598
B0034,F1290,Rice,0.598
B0034,F0493,Rice,0.597
B0035,F1652,Pulses,0.793
B0035,F0309,Millets,0.6
B0035,F1518,Maize,0.599
B0035,F0783,Millets,0.599
B0035,F0035,Pulses,0.599
B0036,F0804,Rice,0.6
B0036,F1146,Pulses,0.599
B0036,F0481,Sugarcane,0.599
B0036,F1584,Millets,0.598
B0036,F1217,Pulses,0.598
B0037,F1318,Millets,0.809
B0037,F0951,Maize,0.597
B0037,F0288,Cotton,0.597
B0037,F0063,Cotton,0.597
B0037,F1440,Maize,0.595
B0038,F0305,Wheat,0.768
B0038,F1066,Maize,0.599
B0038,F1342,Millets,0.598
B0038,F1308,Millets,0.598
B0038,F1191,Maize,0.597
B0039,F1376,Cotton,0.835
B0039,F0924,Barley,0.698
B0039,F1252,Pulses,0.64
B0039,F1517,Barley,0.611
B0039,F1728,Rice,0.599
B0040,F0726,Cotton,0.903
B0040,F1610,Maize,0.857
B0040,F1165,Cotton,0.598
B0040,F0061,Maize,0.598
B0040,F0765,Cotton,0.597
B0041,F0288,Cotton,0.876
B0041,F1466,Pulses,0.6
B0041,F0995,Sugarcane,0.599
B0041,F1362,Pulses,0.599
B0041,F0002,Sugarcane,0.599
B0042,F1520,Cotton,0.805
B0042,F1263,Barley,0.6
B0042,F1264,Barley,0.6
B0042,F1977,Barley,0.6
B0042,F1116,Barley,0.599
B0043,F0414,Rice,0.599
B0043,F0645,Millets,0.599
B0043,F1050,Rice,0.599
B0043,F1830,Rice,0.598
B0043,F1422,Rice,0.598
B0044,F1689,Rice,0.6
B0044,F1563,Sugarcane,0.599
B0044,F1731,Pulses,0.598
B0044,F0893,Rice,0.598
B0044,F0582,Rice,0.598
B0045,F1778,Maize,0.625
B0045,F1965,Cotton,0.598
B0045,F0535,Maize,0.598
B0045,F0200,Maize,0.598
B0045,F1978,Maize,0.598
B0046,F0308,Wheat,0.851
B0046,F0368,Wheat,0.6
B0046,F0196,Wheat,0.599
B0046,F0962,Rice,0.599
B0046,F1396,Pulses,0.599
B0047,F0235,Sugarcane,0.6
B0047,F1809,Sugarcane,0.599
B0047,F0002,Sugarcane,0.598
B0047,F0659,Sugarcane,0.598
B0047,F0995,Sugarcane,0.598
B0048,F1093,Millets,0.815
B0048,F0780,Maize,0.676
B0048,F0028,Wheat,0.599
B0048,F0498,Sugarcane,0.599
B0048,F0637,Rice,0.598
B0049,F0756,Pulses,0.855
B0049,F0940,Wheat,0.6
B0049,F1870,Wheat,0.6
B0049,F0698,Wheat,0.599
B0049,F0278,Pulses,0.599
B0050,F1257,Pulses,0.916
B0050,F1217,Pulses,0.794
B0050,F1072,Wheat,0.6
B0050,F1410,Wheat,0.599
B0050,F1684,Rice,0.599
B0051,F1190,Millets,0.856
B0051,F0928,Sugarcane,0.852
B0051,F0829,Barley,0.6
B0051,F1759,Barley,0.598
B0051,F1542,Barley,0.598
B0052,F1447,Millets,0.819
B0052,F1537,Rice,0.745
B0052,F1788,Sugarcane,0.649
B0052,F1926,Cotton,0.6
B0052,F0031,Cotton,0.6
B0053,F1623,Pulses,0.599
B0053,F0176,Pulses,0.599
B0053,F1936,Millets,0.598
B0053,F0618,Millets,0.598
B0053,F1931,Millets,0.597
B0054,F1133,Pulses,0.599
B0054,F1531,Pulses,0.599
B0054,F1379,Pulses,0.599
B0054,F1838,Sugarcane,0.598
B0054,F1949,Sugarcane,0.597
B0055,F1601,Millets,0.924
B0055,F0649,Millets,0.612
B0055,F1091,Sugarcane,0.6
B0055,F0774,Sugarcane,0.6
B0055,F0128,Rice,0.599
B0056,F0777,Rice,0.6
B0056,F1498,Millets,0.599
B0056,F0499,Rice,0.598
B0056,F0236,Sugarcane,0.598
B0056,F0422,Wheat,0.598
B0057,F0290,Millets,0.6
B0057,F1929,Millets,0.599
B0057,F1161,Millets,0.598
B0057,F1919,Maize,0.598
B0057,F0316,Millets,0.598
B0058,F1264,Barley,0.703
B0058,F0285,Wheat,0.6
B0058,F0659,Sugarcane,0.599
B0058,F0545,Rice,0.599
B0058,F0033,Sugarcane,0.599
B0059,F0149,Rice,0.778
B0059,F1534,Cotton,0.599
B0059,F0577,Cotton,0.596
B0059,F0239,Maize,0.596
B0059,F1151,Cotton,0.596
B0060,F0180,Maize,0.599
B0060,F0800,Maize,0.599
B0060,F1968,Millets,0.599
B0060,F0336,Millets,0.599
B0060,F0756,Pulses,0.598
B0061,F1859,Barley,0.687
B0061,F1786,Millets,0.615
B0061,F0951,Maize,0.599
B0061,F1440,Maize,0.597
B0061,F0288,Cotton,0.597
B0062,F0379,Wheat,0.6
B0062,F1642,Rice,0.598
B0062,F0108,Sugarcane,0.598
B0062,F1257,Pulses,0.598
B0062,F0117,Rice,0.597
B0063,F1830,Rice,0.67
B0063,F0541,Barley,0.599
B0063,F0366,Barley,0.597
B0063,F0319,Barley,0.597
B0063,F1418,Barley,0.597
B0064,F0837,Maize,0.6
B0064,F1135,Maize,0.6
B0064,F0572,Maize,0.599
B0064,F1454,Maize,0.599
B0064,F0222,Maize,0.599
B0065,F0797,Cotton,0.641
B0065,F0573,Rice,0.599
B0065,F1158,Rice,0.599
B0065,F0815,Sugarcane,0.599
B0065,F1796,Wheat,0.599
B0066,F0363,Rice,0.684
B0066,F1429,Pulses,0.6
B0066,F1782,Millets,0.599
B0066,F0970,Maize,0.598
B0066,F0268,Millets,0.597
B0067,F1913,Wheat,0.92
B0067,F1651,Maize,0.679
B0067,F0412,Millets,0.632
B0067,F0143,Sugarcane,0.6
B0067,F1886,Pulses,0.598
B0068,F0227,Cotton,0.743
B0068,F1926,Cotton,0.729
B0068,F0130,Sugarcane,0.599
B0068,F1970,Rice,0.598
B0068,F1966,Rice,0.598
B0069,F0690,Wheat,0.811
B0069,F1510,Sugarcane,0.6
B0069,F1268,Sugarcane,0.599
B0069,F0565,Sugarcane,0.596
B0069,F1404,Pulses,0.596
B0070,F0459,Maize,0.76
B0070,F0626,Wheat,0.6
B0070,F0576,Pulses,0.599
B0070,F1146,Pulses,0.598
B0070,F0834,Sugarcane,0.598
B0071,F0154,Maize,0.836
B0071,F1319,Wheat,0.709
B0071,F1119,Cotton,0.599
B0071,F1635,Cotton,0.599
B0071,F1328,Cotton,0.599
B0072,F1491,Rice,0.748
B0072,F0797,Cotton,0.7
B0072,F0581,Pulses,0.599
B0072,F0355,Millets,0.597
B0072,F1158,Rice,0.595
B0073,F1173,Maize,0.599
B0073,F1066,Maize,0.598
B0073,F1844,Maize,0.598
B0073,F0700,Maize,0.595
B0073,F1330,Cotton,0.594
B0074,F1344,Rice,0.95
B0074,F0675,Sugarcane,0.792
B0074,F0345,Maize,0.784
B0074,F1173,Maize,0.713
B0074,F1860,Rice,0.6
B0075,F1496,Cotton,0.883
B0075,F0047,Millets,0.599
B0075,F0414,Rice,0.599
B0075,F0643,Millets,0.598
B0075,F1229,Pulses,0.598
B0076,F0283,Pulses,0.6
B0076,F1385,Rice,0.598
B0076,F0807,Millets,0.598
B0076,F0176,Pulses,0.597
B0076,F1362,Pulses,0.597
B0077,F1432,Cotton,0.598
B0077,F0947,Cotton,0.597
B0077,F1076,Cotton,0.595
