Farmer_ID,Buyer_ID,Crop_Type,Quantity,Rating
F1769,B0684,Cotton,128,3.7
F1006,B1802,Sugarcane,332,4.5
F1591,B1556,Barley,1384,3.9
F1909,B0582,Wheat,1046,4.6
F0720,B1544,Pulses,209,4.5
F1087,B1965,Wheat,1389,4.3
F0184,B1058,Maize,1229,4.7
F1023,B0736,Cotton,937,4.9
F0311,B0691,Rice,517,4.2
F1817,B0758,Cotton,902,3.5
F1562,B1514,Maize,511,3.8
F0177,B1796,Maize,903,4.5
F1599,B1644,Pulses,166,4.3
F1453,B0754,Maize,413,3.4
F1097,B1447,Wheat,515,3.1
F0847,B1492,Pulses,233,4.4
F1191,B0024,Cotton,709,3.5
F1249,B1240,Barley,1239,4.0
F1601,B0055,Cotton,124,4.5
F1605,B1050,Rice,875,4.1
F1976,B1305,Maize,1345,3.2
F0009,B0804,Maize,552,3.4
F0236,B0327,Sugarcane,844,3.4
F0710,B0970,Pulses,636,3.5
F0924,B0186,Sugarcane,705,4.1
F0685,B0495,Pulses,1416,4.0
F0794,B1036,Wheat,749,3.4
F1052,B1665,Pulses,684,3.1
F0808,B1908,Cotton,893,3.3
F1935,B0434,Rice,1324,5.0
F1670,B1945,Barley,884,3.9
F0027,B0208,Pulses,1203,4.7
F0550,B0133,Pulses,813,4.7
F1220,B1363,Pulses,407,4.0
F1227,B1220,Rice,741,4.4
F0085,B1286,Maize,1481,3.4
F1856,B1306,Rice,671,4.4
F1054,B0369,Millets,531,3.5
F0466,B1127,Millets,1029,4.7
F1123,B1656,Millets,1151,3.2
F1923,B1207,Maize,1027,4.5
F1214,B0423,Millets,1394,3.2
F0012,B1033,Barley,339,4.8
F1627,B1581,Cotton,1370,3.6
F1013,B0244,Rice,801,4.3
F1054,B0782,Maize,72,4.0
F1749,B0624,Cotton,855,3.7
F1062,B0567,Cotton,221,4.3
F1877,B1417,Maize,884,4.9
F0572,B0527,Millets,367,3.1
F1318,B0037,Maize,957,4.8
F1384,B0178,Wheat,847,4.2
F1679,B0639,Cotton,1040,4.6
F0914,B1653,Maize,904,3.8
F0180,B0852,Cotton,1266,3.9
F0797,B0072,Millets,730,4.7
F1136,B0352,Rice,965,3.8
F1766,B0623,Barley,1191,4.1
F1468,B1173,Sugarcane,1079,3.0
F1045,B1721,Millets,892,3.3
F1169,B0105,Sugarcane,532,4.3
F1523,B1683,Pulses,181,4.4
F1170,B0221,Maize,1166,4.2
F0441,B1850,Maize,910,3.3
F0887,B0863,Millets,343,3.9
F0421,B1398,Cotton,690,3.7
F1340,B0518,Millets,1049,4.0
F1190,B1284,Pulses,441,4.7
F1676,B0299,Millets,298,4.6
F1227,B0861,Maize,752,3.2
F1520,B0042,Millets,1490,4.8
F1780,B0771,Cotton,1216,3.9
F1649,B0897,Maize,1310,4.5
F0468,B0492,Cotton,336,3.3
F0713,B1463,Millets,326,4.3
F0385,B1807,Maize,436,3.5
F0314,B1071,Wheat,1455,3.9
F0771,B0085,Barley,499,3.0
F1279,B1710,Cotton,340,3.3
F0959,B1082,Barley,1242,3.2
F0917,B0991,Wheat,492,3.5
F0023,B0711,Wheat,705,3.2
F1929,B0209,Wheat,1257,4.4
F1782,B1272,Wheat,1118,3.1
F0339,B1235,Rice,876,4.2
F1517,B0039,Barley,1341,3.3
F0823,B1276,Millets,525,4.9
F1535,B1667,Pulses,302,4.9
F0366,B0926,Millets,1469,3.5
F1396,B1827,Millets,338,4.2
F0915,B0762,Barley,1285,3.1
F1854,B1977,Millets,1049,4.9
F1623,B1437,Sugarcane,70,4.0
F1243,B0946,Rice,365,3.1
F0475,B1470,Millets,613,3.7
F1447,B0052,Maize,1496,3.2
F1380,B0374,Millets,1306,3.8
F1484,B1550,Maize,172,4.3
F1527,B0931,Pulses,923,3.9
